Pending Making - 19,Pending in QC - 478,Accepted in QC - 511 / 1000,Making Completed - 981,,Total - 13/09/2025,Today QC - 0,Total QC - 612,Reject Reason,Rework date,Comment,,Report = Batch 3 - 1000,,,Not Started,377
jid_acb057,my_ref_jid_acb057,my_client_jid_abc057,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb058,my_ref_jid_acb058,my_client_jid_abc058,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb059,my_ref_jid_acb059,my_client_jid_abc059,Done,8/22/2025,Mahi,12/09/2025,Output Not Found,,,,,,,,,
jid_acb060,my_ref_jid_acb060,my_client_jid_abc060,Done,8/22/2025,Mahi,12/09/2025,Not Started,,,,,,,,,
jid_acb061,my_ref_jid_acb061,my_client_jid_abc061,Done,8/22/2025,Mahi,12/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
jid_acb062,my_ref_jid_acb062,my_client_jid_abc062,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb063,my_ref_jid_acb063,my_client_jid_abc063,Done,8/22/2025,Mahi,12/09/2025,Rejected,retnd of moluculret retrror dfrnd SH is dfrlso wrong,,,,,,,,
jid_acb064,my_ref_jid_acb064,my_client_jid_abc064,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb065,my_ref_jid_acb065,my_client_jid_abc065,Done,8/22/2025,Mahi,12/09/2025,Rejected,for SH using R group thdfrt is retrror Just usret S dfrtom,,,,,,,,
jid_acb066,my_ref_jid_acb066,my_client_jid_abc066,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb067,my_ref_jid_acb067,my_client_jid_abc067,Done,8/22/2025,Mahi,12/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
jid_acb068,my_ref_jid_acb068,my_client_jid_abc068,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb069,my_ref_jid_acb069,my_client_jid_abc069,Done,8/22/2025,Mahi,12/09/2025,Rejected,missing F3C dfrnd retnd of molucluret retrror,,,,,,,,
jid_acb070,my_ref_jid_acb070,my_client_jid_abc070,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb071,my_ref_jid_acb071,my_client_jid_abc071,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb072,my_ref_jid_acb072,my_client_jid_abc072,Done,8/22/2025,Mahi,12/09/2025,Not Started,,,,,,,,,
jid_acb073,my_ref_jid_acb073,my_client_jid_abc073,Done,8/22/2025,Mahi,12/09/2025,Rejected,ddfrsh bond is missing dfrnd dretlrettret thret retxtrdfr bond,,,,,,,,
jid_acb074,my_ref_jid_acb074,my_client_jid_abc074,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb075,my_ref_jid_acb075,my_client_jid_abc075,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb076,my_ref_jid_acb076,my_client_jid_abc076,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb077,my_ref_jid_acb077,my_client_jid_abc077,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb078,my_ref_jid_acb078,my_client_jid_abc078,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb079,my_ref_jid_acb079,my_client_jid_abc079,Done,8/22/2025,Mahi,12/09/2025,Rejected,Y is not dfrtom,,,,,,,,
jid_acb080,my_ref_jid_acb080,my_client_jid_abc080,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb081,my_ref_jid_acb081,my_client_jid_abc081,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb082,my_ref_jid_acb082,my_client_jid_abc082,Done,8/22/2025,Mahi,12/09/2025,Not Started,,,doubt on parathensis,,,,,,
jid_acb083,my_ref_jid_acb083,my_client_jid_abc083,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb084,my_ref_jid_acb084,my_client_jid_abc084,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb085,my_ref_jid_acb085,my_client_jid_abc085,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb086,my_ref_jid_acb086,my_client_jid_abc086,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb087,my_ref_jid_acb087,my_client_jid_abc087,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb088,my_ref_jid_acb088,my_client_jid_abc088,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb089,my_ref_jid_acb089,my_client_jid_abc089,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb090,my_ref_jid_acb090,my_client_jid_abc090,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb091,my_ref_jid_acb091,my_client_jid_abc091,Clarification Needed,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb092,my_ref_jid_acb092,my_client_jid_abc092,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb093,my_ref_jid_acb093,my_client_jid_abc093,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb094,my_ref_jid_acb094,my_client_jid_abc094,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb095,my_ref_jid_acb095,my_client_jid_abc095,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb096,my_ref_jid_acb096,my_client_jid_abc096,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb097,my_ref_jid_acb097,my_client_jid_abc097,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb098,my_ref_jid_acb098,my_client_jid_abc098,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb099,my_ref_jid_acb099,my_client_jid_abc099,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb100,my_ref_jid_acb100,my_client_jid_abc100,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb101,my_ref_jid_acb101,my_client_jid_abc101,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb102,my_ref_jid_acb102,my_client_jid_abc102,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb103,my_ref_jid_acb103,my_client_jid_abc103,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb104,my_ref_jid_acb104,my_client_jid_abc104,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb105,my_ref_jid_acb105,my_client_jid_abc105,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb106,my_ref_jid_acb106,my_client_jid_abc106,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb107,my_ref_jid_acb107,my_client_jid_abc107,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb108,my_ref_jid_acb108,my_client_jid_abc108,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb109,my_ref_jid_acb109,my_client_jid_abc109,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb110,my_ref_jid_acb110,my_client_jid_abc110,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb111,my_ref_jid_acb111,my_client_jid_abc111,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb112,my_ref_jid_acb112,my_client_jid_abc112,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb113,my_ref_jid_acb113,my_client_jid_abc113,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb114,my_ref_jid_acb114,my_client_jid_abc114,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb115,my_ref_jid_acb115,my_client_jid_abc115,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb116,my_ref_jid_acb116,my_client_jid_abc116,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb117,my_ref_jid_acb117,my_client_jid_abc117,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb118,my_ref_jid_acb118,my_client_jid_abc118,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb119,my_ref_jid_acb119,my_client_jid_abc119,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb120,my_ref_jid_acb120,my_client_jid_abc120,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb121,my_ref_jid_acb121,my_client_jid_abc121,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb122,my_ref_jid_acb122,my_client_jid_abc122,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb123,my_ref_jid_acb123,my_client_jid_abc123,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb124,my_ref_jid_acb124,my_client_jid_abc124,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb125,my_ref_jid_acb125,my_client_jid_abc125,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb126,my_ref_jid_acb126,my_client_jid_abc126,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb127,my_ref_jid_acb127,my_client_jid_abc127,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb128,my_ref_jid_acb128,my_client_jid_abc128,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb129,my_ref_jid_acb129,my_client_jid_abc129,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb130,my_ref_jid_acb130,my_client_jid_abc130,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb131,my_ref_jid_acb131,my_client_jid_abc131,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb132,my_ref_jid_acb132,my_client_jid_abc132,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb133,my_ref_jid_acb133,my_client_jid_abc133,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb134,my_ref_jid_acb134,my_client_jid_abc134,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb135,my_ref_jid_acb135,my_client_jid_abc135,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb136,my_ref_jid_acb136,my_client_jid_abc136,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb137,my_ref_jid_acb137,my_client_jid_abc137,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb138,my_ref_jid_acb138,my_client_jid_abc138,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb139,my_ref_jid_acb139,my_client_jid_abc139,Done,8/22/2025,Mahi,01/08/2025,Not Started,,,,,,,,,
jid_acb140,my_ref_jid_acb140,my_client_jid_abc140,Done,8/22/2025,Mahi,12/09/2025,Rejected,connretction cyclret,,,,,,,,
jid_acb141,my_ref_jid_acb141,my_client_jid_abc141,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb142,my_ref_jid_acb142,my_client_jid_abc142,Done,8/22/2025,Mahi,12/09/2025,Not Started,,,,,,,,,
jid_acb143,my_ref_jid_acb143,my_client_jid_abc143,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb144,my_ref_jid_acb144,my_client_jid_abc144,Done,8/22/2025,Mahi,12/09/2025,Not Started,,,,,,,,,
jid_acb145,my_ref_jid_acb145,my_client_jid_abc145,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb146,my_ref_jid_acb146,my_client_jid_abc146,Done,8/22/2025,Mahi,12/09/2025,Not Started,,,,,,,,,
jid_acb147,my_ref_jid_acb147,my_client_jid_abc147,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb148,my_ref_jid_acb148,my_client_jid_abc148,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb149,my_ref_jid_acb149,my_client_jid_abc149,Done,8/22/2025,Mahi,12/09/2025,Not Started,,,,,,,,,
jid_acb150,my_ref_jid_acb150,my_client_jid_abc150,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb151,my_ref_jid_acb151,my_client_jid_abc151,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb152,my_ref_jid_acb152,my_client_jid_abc152,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb153,my_ref_jid_acb153,my_client_jid_abc153,Done,8/22/2025,Mahi,12/09/2025,Rejected,retnd of moluculret retrror,,,,,,,,
jid_acb154,my_ref_jid_acb154,my_client_jid_abc154,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb155,my_ref_jid_acb155,my_client_jid_abc155,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb156,my_ref_jid_acb156,my_client_jid_abc156,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,need to discuss,,,,,,
jid_acb157,my_ref_jid_acb157,my_client_jid_abc157,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb158,my_ref_jid_acb158,my_client_jid_abc158,Done,8/22/2025,Mahi,12/09/2025,Not Started,,,,,,,,,
jid_acb159,my_ref_jid_acb159,my_client_jid_abc159,Done,8/22/2025,Mahi,12/09/2025,Not Started,,,,,,,,,
jid_acb160,my_ref_jid_acb160,my_client_jid_abc160,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
jid_acb161,my_ref_jid_acb161,my_client_jid_abc161,Done,8/22/2025,Mahi,12/09/2025,Not Started,,,,,,,,,
jid_acb162,my_ref_jid_acb162,my_client_jid_abc162,Done,8/22/2025,Mahi,12/09/2025,Not Started,,,EOM,,,,,,
jid_acb163,my_ref_jid_acb163,my_client_jid_abc163,Done,8/22/2025,Mahi,12/09/2025,Rejected,missing thret circlret insidret thret bretnzretnret,,,,,,,,
jid_acb164,my_ref_jid_acb164,my_client_jid_abc164,Done,8/22/2025,Mahi,12/09/2025,Not Started,,,,,,,,,
jid_acb165,my_ref_jid_acb165,my_client_jid_abc165,Done,8/22/2025,Mahi,12/09/2025,Accepted,,,,,,,,,
